"Psychology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5983&returnto=5494|psychology-b-s
"Public Relations, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8496&returnto=5494|public-relations-b-a
"Religious Studies, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6176&returnto=5494|religious-studies-b-a
"Retailing and Consumer Science, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6080&returnto=5494|retailing-and-consumer-science-b-s
"Sociology, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5984&returnto=5494|sociology-b-a
"Sociology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5985&returnto=5494|sociology-b-s
"Spanish, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5986&returnto=5494|spanish-b-a
"Sports Administration"|http://publications.uh.edu/preview_program.php?catoid=21&poid=8505&returnto=5494|sports-administration
"Supply Chain and Logistics Technology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6081&returnto=5494|supply-chain-and-logistics-technology-b-s
"Supply Chain Management, B.B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5883&returnto=5494|supply-chain-management-b-b-a
"Teaching and Learning, B.S"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6102&returnto=5494|teaching-and-learning-b-s
"Theatre, B.F.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5987&returnto=5494|theatre-b-f-a
"Women's, Gender & Sexuality Studies. B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6188&returnto=5494|women-s-gender-sexuality-studies-b-a
"World Cultures and Literatures, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6168&returnto=5494|world-cultures-and-literatures-b-a
